"Дата","Время","Площадка","Категория","Id товара"
"datetime","parsing_time","platform","category","inner_product_id"
"2020-11-23","00:00:00",1,"",206905081
"2020-10-24","00:00:00",1,"",184153627
"2021-02-22","00:00:00",1,"",232213288
"2020-12-30","00:00:00",1,"",219459884
"2021-01-27","00:00:00",1,"",223280116
"2020-10-31","00:00:00",1,"",169290099
"2020-12-28","00:00:00",1,"",207595218
"2020-12-30","00:00:00",1,"",208831422
"2020-11-13","00:00:00",1,"",203999590
"2021-02-12","00:00:00",1,"",216740706
"2020-10-24","00:00:00",1,"",172481408
"2020-10-24","00:00:00",1,"",176431492
"2020-10-29","00:00:00",1,"",182348636
"2020-10-30","00:00:00",1,"",183717424
"2020-12-30","00:00:00",1,"",219865853
"2020-10-29","00:00:00",1,"",179171090
"2020-10-29","00:00:00",1,"",182091942
"2020-11-26","00:00:00",1,"",184001994
"2020-11-20","00:00:00",1,"",204219036
"2020-11-03","00:00:00",1,"",194719603
"2020-11-02","00:00:00",1,"",184360417
"2020-10-25","00:00:00",1,"",176845397
"2021-02-22","00:00:00",1,"",231973074
"2021-01-14","00:00:00",1,"",222134202
"2020-10-30","00:00:00",1,"",154490293
"2020-10-24","00:00:00",1,"",202096603
"2020-11-01","00:00:00",1,"",203856567
"2020-12-23","00:00:00",1,"",217753806
"2020-10-29","00:00:00",1,"",195263049
"2020-11-16","00:00:00",1,"",206454142
"2020-10-26","00:00:00",1,"",202667942
"2020-11-11","00:00:00",1,"",162737428
"2021-02-15","00:00:00",1,"",230360859
"2020-10-31","00:00:00",1,"",173424684
"2021-02-14","00:00:00",1,"",189209866
"2020-11-13","00:00:00",1,"",205817173
"2020-12-28","00:00:00",1,"",217059557
"2021-03-04","00:00:00",1,"",235837648
"2021-01-09","00:00:00",1,"",220729324
"2020-12-07","00:00:00",1,"",168211167
"2021-02-13","00:00:00",1,"",229752624
"2021-02-12","00:00:00",1,"",228366940
"2020-12-28","00:00:00",1,"",216466602
"2020-10-24","00:00:00",1,"",197056045
"2020-10-29","00:00:00",1,"",199531765
"2020-10-24","00:00:00",1,"",201972674
"2020-10-31","00:00:00",1,"",192752681
"2020-10-30","00:00:00",1,"",178598688
"2021-02-25","00:00:00",1,"",229026687
"2020-10-31","00:00:00",1,"",171738108
"2021-01-16","00:00:00",1,"",222239651
"2020-11-06","00:00:00",1,"",204359301
"2020-11-27","00:00:00",1,"",208931933
"2021-01-14","00:00:00",1,"",221619080
"2020-10-29","00:00:00",1,"",169549499
"2020-10-30","00:00:00",1,"",179276555
"2021-01-24","00:00:00",1,"",224199745
"2020-10-24","00:00:00",1,"",180825282
"2020-11-13","00:00:00",1,"",205971788
"2020-10-29","00:00:00",1,"",191388799
"2020-11-19","00:00:00",1,"",203205524
"2020-10-29","00:00:00",1,"",193364759
"2020-11-27","00:00:00",1,"",210049864
"2020-11-19","00:00:00",1,"",182497669
"2021-02-27","00:00:00",1,"",232991194
"2021-03-01","00:00:00",1,"",227821166
"2020-10-24","00:00:00",1,"",175702361
"2020-12-28","00:00:00",1,"",219018930
"2020-11-03","00:00:00",1,"",170085249
"2021-01-30","00:00:00",1,"",226138374
"2021-01-22","00:00:00",1,"",223853674
"2021-01-20","00:00:00",1,"",217631959
"2020-12-23","00:00:00",1,"",215345595
"2020-11-09","00:00:00",1,"",191030356
"2020-11-28","00:00:00",1,"",205207251
"2020-10-24","00:00:00",1,"",166396885
"2021-01-21","00:00:00",1,"",215768162
"2020-12-02","00:00:00",1,"",208194002
"2021-02-12","00:00:00",1,"",228455351
"2020-10-28","00:00:00",1,"",180625712
"2021-01-22","00:00:00",1,"",224266675
"2021-01-12","00:00:00",1,"",189582538
"2020-11-03","00:00:00",1,"",190966182
"2020-10-29","00:00:00",1,"",186025490
"2020-11-03","00:00:00",1,"",200825210
"2020-12-13","00:00:00",1,"",215409737
"2021-01-05","00:00:00",1,"",220454444
"2020-12-30","00:00:00",1,"",219085632
"2020-10-24","00:00:00",1,"",150203178
"2021-01-21","00:00:00",1,"",223654296
"2020-11-12","00:00:00",1,"",179959471
